time,tvlusd,tvleth,dai
2020-11-10 00:00:00,2156093533,,318747361.2923241
2020-11-09 01:00:00,2151240318,4757591.874737377,289003477.53003013
2020-11-08 01:00:00,2102558741,4822050.64101094,287617880.8455159
2020-11-07 01:00:00,2220667542,4876087.001010057,297908828.39171064
2020-11-06 01:00:00,2094719854,5069015.230858581,283566926.9889314
2020-11-05 01:00:00,2033198334,5092544.355666876,278863015.3548531
2020-11-04 01:00:00,2014216002,5229013.504672897,287043829.4862801
2020-11-03 01:00:00,2001638221,5216267.221744455,283186825.3704214
2020-11-02 01:00:00,2012945618,5121999.0279898215,277375658.77873755
2020-11-01 01:00:00,1979365420,5135473.159847443,269064646.3715673
2020-10-31 01:00:00,1962440438,5150897.498622011,271006167.56669134
2020-10-30 01:00:00,2014763438,5236007.791262766,273716673.51399976
2020-10-29 01:00:00,2033476974,5240514.841635956,301264236.07074344
2020-10-28 01:00:00,2110012143,5259252.599700897,323462909.453061
2020-10-27 01:00:00,2077829181,5283601.640136297,331538602.9774457
2020-10-26 01:00:00,2116839292,5212862.716706068,334440245.97683954
2020-10-25 02:00:00,2128177354,5199807.843041439,337562554.0474483
2020-10-24 02:00:00,2132229322,5221572.96926656,340971087.69406927
2020-10-23 02:00:00,2096399515,5079102.398546335,316015239.3463928
2020-10-22 02:00:00,2062949829,5302531.3687186735,302515090.622257
2020-10-21 02:00:00,1960003672,5341191.606714629,296591547.3561
2020-10-20 02:00:00,1972591032,5224299.570951851,287548559.15664357
2020-10-19 02:00:00,1959108669,5200713.217414388,293743569.88329756
2020-10-18 02:00:00,1937514585,5257413.467017611,292837868.50943995
2020-10-17 02:00:00,1928598277,5278624.581234946,291864691.926767
2020-10-16 02:00:00,1951465486,5221871.199593267,291330427.2670157
2020-10-15 02:00:00,1966279452,5212829.936373277,293273688.9130366
2020-10-14 02:00:00,1983843850,5221191.309611538,291219985.5074005
2020-10-13 02:00:00,1972657498,5130315.201165119,275213617.05403465
2020-10-12 02:00:00,1938471159,5189321.801632981,274170875.9103255
2020-10-11 02:00:00,1912504569,5168093.198400259,267777987.2648673
2020-10-10 02:00:00,1890049569,5177934.274834256,268247701.72870106
2020-10-09 02:00:00,1833516456,5221759.621792499,267108508.05104345
2020-10-08 02:00:00,1798535129,5270123.740733144,263505097.04100063
2020-10-07 02:00:00,1819366587,5328042.249685184,267381652.44168657
2020-10-06 02:00:00,1825904653,5183841.958379468,253211077.57087794
