time,tvlusd,tvleth,category
2020-12-24,6677026102,10312646.498625398,lending
2020-12-23,7064018592,11227162.847470555,lending
2020-12-22,6850876082,11300600.557534968,lending
2020-12-21,7042652680,11135156.89281705,lending
2020-12-20,7275402680,11194821.708289098,lending
2020-12-19,7027417440,10939998.505510928,lending
2020-12-18,6918188981,10818629.460334338,lending
2020-12-17,6893242446,10902371.527986463,lending
2020-12-16,6542357165,11136874.90850285,lending
2020-12-15,6511971372,11128150.948426127,lending
2020-12-14,6475010596,10972362.563546397,lending
2020-12-13,6330949676,11097583.922311036,lending
2020-12-12,6104587087,11178924.492748316,lending
2020-12-11,6227407383,11091848.430820746,lending
2020-12-10,6381964182,11140724.765645456,lending
2020-12-09,6191390723,11090912.014545716,lending
2020-12-08,6523543750,11047117.371130528,lending
2020-12-07,6523128612,10956244.099566663,lending
2020-12-06,6472045527,10898451.67466532,lending
2020-12-05,6241919269,10933280.672960714,lending
2020-12-04,6651720460,10844194.492900115,lending
2020-12-03,6540464841,10996628.68167527,lending
2020-12-02,6460327191,11033486.799767729,lending
2020-12-01,6672837300,10882169.148224857,lending
2020-11-30,6168415064,10657616.130481359,lending
2020-11-29,5914523940,10956677.238287548,lending
2020-11-28,5716351956,10928046.714714484,lending
2020-11-27,5868786141,11307437.364648761,lending
2020-11-26,6222580702,10899407.440752484,lending
2020-11-25,6458692440,10740678.895115826,lending
2020-11-24,6464817313,10677353.647579564,lending
2020-11-23,6219315269,11103144.337130003,lending
2020-11-22,6149844179,11214566.867865348,lending
2020-11-21,5978479654,11865123.254013931,lending
2020-11-20,5736319800,12228351.73736943,lending
2020-11-19,5790960636,12143942.951809753,lending
2020-11-18,5732142198,12008258.50633707,lending
2020-11-17,5518058952,12098353.326024994,lending
2020-11-16,5322778258,11954314.912635313,lending
2020-11-15,5427784335,11842524.676543102,lending
2020-11-14,5495522241,11596130.575425712,lending
2020-11-13,5300031686,11485603.39365045,lending
2020-11-12,5353257138,11571857.802468602,lending
2020-11-11,5210573550,11641398.489689227,lending
2020-11-10,5006749748,11289430.986042524,lending
2020-11-09,4978060233,11009266.941636994,lending
2020-11-08,4789105709,10983431.665252391,lending
2020-11-07,4968275058,10909215.79640771,lending
2020-11-06,4611800562,11160102.027877264,lending
2020-11-05,4437820692,11115393.09204759,lending
2020-11-04,4374657213,11356846.347352026,lending
2020-11-03,4360144804,11362533.041461444,lending
2020-11-02,4430043080,11272374.249363868,lending
2020-11-01,4357476296,11305493.334717069,lending
2020-10-31,4334146854,11376012.110554084,lending
2020-10-30,4355904318,11320211.850619819,lending
2020-10-29,4452519865,11474679.444888283,lending
2020-10-28,4525941311,11281010.24675972,lending
2020-10-27,4475714861,11381057.979453797,lending
2020-10-26,4686235833,11540178.863770684,lending
2020-10-25,4733001761,11564214.623240814,lending
2020-10-24,4699260632,11507923.673319455,lending
2020-10-23,4488286087,10874103.178679587,lending
2020-10-22,4307330242,11071405.3257936,lending
2020-10-21,4048025799,11031245.364617398,lending
2020-10-20,4167356532,11037016.081360243,lending
2020-10-19,4165939160,11059036.793204144,lending
2020-10-18,4111738293,11157133.185900742,lending
2020-10-17,4113119386,11257716.734179989,lending
2020-10-16,4203320387,11247545.923309518,lending
2020-10-15,4225237960,11201585.259809121,lending
2020-10-14,4258714641,11208323.615643753,lending
2020-10-13,4277267366,11123943.112012692,lending
2020-10-12,4190385156,11217735.660554143,lending
2020-10-11,4152773390,11221892.09857861,lending
2020-10-10,4158470016,11392444.293463372,lending
2020-10-09,4131085861,11765117.93637684,lending
2020-10-08,4031105619,11812071.43610631,lending
2020-10-07,4099440662,12005273.265587019,lending
2020-10-06,4175107657,11853356.20759163,lending
2020-10-05,4337799564,12295001.740313483,lending
2020-10-04,4322993253,12446357.219359111,lending
2020-10-03,4294059929,12376595.846663784,lending
2020-10-02,4422796073,12483547.58248892,lending
2020-10-01,4563099918,12632467.521178229,lending
2020-09-30,4625136087,12837259.116267452,lending
2020-09-29,4689087853,13200517.575023927,lending
2020-09-28,4664945095,13026570.313590797,lending
2020-09-27,4639702644,13027383.529411765,lending
2020-09-26,4558860064,12846563.710654607,lending
2020-09-25,4388977600,12521332.876868652,lending
2020-09-24,4168920486,12792023.583921447,lending
2020-09-23,4081203542,11780405.097563792,lending
2020-09-22,4008064137,11710582.99830538,lending
2020-09-21,4164537903,11189580.049975816,lending
2020-09-20,4173406108,10821184.193740763,lending
2020-09-19,4034135334,10470930.34495289,lending
2020-09-18,4001055355,10280468.036177702,lending
2020-09-17,3967877017,10859887.284122944,lending
2020-09-16,3967552005,10867921.234283835,lending
2020-09-15,4001047682,10574990.569578432,lending
2020-09-14,3948719676,10690996.821443075,lending
2020-09-13,4080736870,10451903.97766565,lending
2020-09-12,3898626948,10356294.190463541,lending
2020-09-11,3878188810,10458695.315660313,lending
2020-09-10,3623575232,10236666.568732698,lending
2020-09-09,3360408440,9920903.519130845,lending
2020-09-08,3444943130,9756281.874822997,lending
2020-09-07,3429767749,9646101.217797277,lending
2020-09-06,3365091271,9958543.017371487,lending
2020-09-05,3697485841,9514644.093049588,lending
